time,Open,High,Low,Close,Volume,Ret_5d,Ret_20d
2015-09-23,230.66,230.66,226.45,229.87,53526673.23620633,0.014565035088493605,-0.13380812419926136
2015-09-27,233.93,234.98,232.83,232.83,75776526.63573742,-0.03189189189189179,-0.20233649662544106
2015-09-30,239.28,239.28,236.05,236.05,76056339.96172076,-0.01645833333333324,-0.16869167106885008
2015-10-03,237.74,238.97,237.26,238.97,73353042.37453015,0.03940672437040593,-0.12404237381327665
2015-10-07,238.66,246.44,238.66,243.22,121587412.75625242,0.051671206814545734,-0.11752113493704874
2015-10-11,242.9,247.54,242.9,247.54,79268221.71546365,0.07686953495453941,-0.15402754519667827
2015-10-15,245.57,254.63,245.57,254.63,207297257.62019613,0.09363054589185227,-0.10240411731528487
2015-10-19,262.37,270.36,262.23,264.21,224715633.9081733,0.11929675916119442,-0.06251995884043571
2015-10-23,270.27,277.39,267.02,277.39,130573069.75416414,0.16077331882663093,-0.004021399590678931
2015-10-27,282.96,294.81,282.96,294.81,329397533.93903714,0.2121124907491161,0.09241486641716379
2015-10-31,303.64,325.8,303.64,312.28,321997491.79856926,0.2615334895370445,0.19886363636363624
2015-11-03,325.0,398.24,325.0,398.24,987283928.3196412,0.5639948160075403,0.7624358293503275
2015-11-07,404.36,404.36,372.83,387.06,462741972.46864593,0.46497104575905546,0.7032343234323433
2015-11-11,371.5,380.64,305.98,305.98,572707252.5268553,0.1030678827643392,0.3722922366237611
2015-11-15,337.96,337.96,320.48,320.48,237800138.65869674,0.08707303008717493,0.39290681502086233
2015-11-19,331.35,335.45,325.57,325.57,206391901.26959464,0.042557960804406436,0.4369510526548086
2015-11-23,321.42,325.16,321.42,322.83,188739479.4368917,-0.18935817597428695,0.34232848232848223
2015-11-27,319.98,359.01,319.98,359.01,895711315.7104639,-0.07246938459153618,0.49587500000000007
2015-11-30,356.21,378.27,356.21,378.27,1299027009.4916246,0.23625727171710564,0.6452959853855855
2015-12-03,363.45,363.45,358.82,360.95,1149814390.1438584,0.12627933100349464,0.560729882820945
2015-12-07,362.77,394.36,362.77,394.36,1282263557.3988562,0.211290966612403,0.7155783703832601
2015-12-11,412.93,452.41,412.93,452.41,1623480958.4502342,0.4013877272868074,0.9430915260060988
2015-12-15,434.9,465.0,434.9,465.0,1555251795.3592968,0.29522854516587294,0.9699216267739885
2015-12-19,453.91,463.82,453.91,462.05,556941126.9945824,0.22148201020435154,0.9335062978616564
2015-12-23,441.13,442.82,436.24,442.82,955949147.6136756,0.22681811885302672,0.8206561960365102
2015-12-27,454.91,455.74,417.09,423.93,1378749291.4939413,0.07498224972106704,0.7125717055829361
2015-12-31,420.71,432.15,420.71,431.14,1310033274.6107447,-0.047014875886916774,0.6932019007972352
2016-01-03,434.43,434.43,430.2,430.2,984185979.6461835,-0.07483870967741935,0.6282502554785967
2016-01-07,433.53,456.43,431.34,456.43,1637948558.2555692,-0.012163185802402388,0.6454450412776236
2016-01-11,454.7,454.7,447.21,448.35,1182725805.933856,0.012488144166930226,0.5208100132288593
2016-01-15,445.79,445.79,365.91,365.91,1576734613.7039278,-0.13686221781897945,0.171736902779557
2016-01-19,384.81,386.36,379.02,379.02,1157108220.8545206,-0.1208888064201884,-0.04826235435918047
2016-01-23,418.85,418.85,377.21,389.64,755378842.1307422,-0.09428172942817292,0.006665633235157342
2016-01-27,403.06,403.06,392.33,394.49,1023661369.6216024,-0.13570536555441137,0.28926727237074323
2016-01-31,379.55,379.55,364.35,364.35,795209372.712972,-0.18735362997658078,0.1368884173739391
2016-02-03,371.04,372.87,368.12,368.12,701511710.5572596,0.006039736547238439,0.13069385999938565
2016-02-07,388.38,388.38,374.9,375.52,551083226.5427567,-0.009234341195715312,0.16321283647740303
