Date,Open,High,Low,Close,Volume,Ret_5d,Ret_20d,ma
2016-04-23,441.92,451.82,441.92,451.82,835075482.691219,0.0804179918218992,0.2031849169152109,419.979
2016-04-27,459.92,467.86,444.79,444.79,1344104894.4750998,0.0563075900066496,0.179626584628441,423.3655
2016-04-30,449.38,456.57,447.9,447.9,577836728.8566968,0.0599176487292347,0.1214883068756571,425.7915
2016-05-03,452.59,452.59,444.49,450.3,460396814.0834587,0.0472823685373398,0.0737278840192665,427.3375
2016-05-07,447.12,461.62,447.12,459.25,418352341.3398776,0.0524325686917066,0.0926719010230787,429.285
2016-05-11,459.28,461.75,450.33,452.18,672525013.6120929,0.0007967774777566,0.0463738603230434,430.287
2016-05-15,454.73,457.84,454.73,457.84,514727783.64522,0.0293396883922749,0.0478806188775975,431.33299999999997
2016-05-19,454.89,454.89,440.54,440.54,626926267.8026723,-0.016432239339138,0.0484803769902657,432.35150000000004
2016-05-23,441.89,443.18,438.68,443.18,378979422.05785537,-0.0158116811014878,0.071155798327452,433.8235000000001
2016-05-27,445.77,473.86,445.77,473.86,1609915743.8194053,0.0318127381600434,0.1301216312902455,436.5514999999999
2016-05-31,528.55,534.22,524.62,531.41,976889071.4702432,0.1752178336060859,0.2785343085362333,442.34
2016-06-03,539.17,570.44,538.83,570.44,947549857.3776044,0.2459374453957716,0.402468407336382,450.525
2016-06-07,573.53,585.56,573.53,577.91,995595869.9524368,0.3118218549961409,0.382295254496747,458.5165
2016-06-11,583.14,597.75,577.61,597.75,567638086.2563363,0.3487747642041607,0.4053132714235334,467.13649999999996
2016-06-15,671.71,704.29,671.71,693.23,1111645975.7525933,0.4629426412864559,0.6689457592026387,481.0295
2016-06-19,765.46,765.46,749.42,764.05,1440147059.442583,0.4377787395796089,0.8270403405150768,498.32250000000005
2016-06-23,734.16,734.16,591.9,623.21,2950728708.757519,0.0925075380408104,0.4800275482093665,508.429
2016-06-27,661.42,666.06,629.31,648.3,1893446210.5502863,0.1218009724697617,0.53414738037768,519.715
2016-06-30,646.84,671.62,637.44,671.62,1557452114.6606188,0.1235800920117105,0.5620159546014838,531.7974999999999
2016-07-03,677.71,693.05,664.75,664.75,1980745475.193143,-0.0410830460308988,0.5233632009533193,543.2165
2016-07-07,678.7,678.7,638.62,638.62,2122556832.5577588,-0.1641646489104116,0.4134389801248286,552.5565
2016-07-11,665.74,665.74,649.07,649.07,969355597.1380028,0.0414948412252691,0.4592729153083479,562.7705
2016-07-15,670.95,670.95,658.15,665.69,915530669.947748,0.0268240012339968,0.4862469301183301,573.6600000000001
2016-07-19,663.5,678.39,663.5,674.56,721148317.6858412,0.0043774753580894,0.4980235398623138,584.873
2016-07-23,670.89,670.89,651.09,655.42,749951409.4708184,-0.0140353516359533,0.4271529667936853,594.6815
2016-07-27,660.85,660.85,651.31,655.62,701731382.8989863,0.0266198991575585,0.4499093281436597,604.8534999999999
2016-07-31,655.89,657.34,623.75,623.75,1034681070.1406332,-0.0390096599750412,0.3623755023589028,613.149
